Cary,NC = 135418
Cedar Rapids,IA = 126498
Warwick,RI = 82643
San Buenaventura,CA = 106730
Compton,CA = 96558
New Orleans,LA = 347858
Plantation,FL = 85217
Rock Hill,SC = 66395
Garden Grove,CA = 171386
Pittsburgh,PA = 305759
Bellflower,CA = 76717
Fayetteville,AR = 73946
Federal Way,WA = 89622
Lansing,MI = 114017
Cincinnati,OH = 296907
Palmdale,CA = 152944
San Leandro,CA = 85159
Roanoke,VA = 96967
Fresno,CA = 496147
West Covina,CA = 106221
Allen,TX = 84888
Gastonia,NC = 71782
Columbia,MD = 102239
San Angelo,TX = 93804
Tacoma,WA = 198506
Columbia,MO = 108872
San Diego,CA = 1311886
Davis,CA = 65740
Arlington,TX = 367185
Lake Forest,CA = 77482
El Paso,TX = 652113
Nashville,TN = 602618
Lewisville,TX = 95691
Pleasanton,CA = 70456
Jackson,TN = 65279
Chandler,AZ = 236775
Scranton,PA = 76068
Salt Lake City,UT = 187215
Missouri City,TX = 69052
Lauderhill,FL = 67100
Norman,OK = 111398
Bend,OR = 76723
Fort Myers,FL = 62429
St. Louis,MO = 319156
Hoover,AL = 80376
Evanston,IL = 74549
Cleveland,OH = 396240
Alafaya,FL = 84809
Glendale,AZ = 227358
Mission,TX = 77586
Lafayette,LA = 120871
Largo,FL = 77663
Hartford,CT = 124847
Cheektowaga,NY = 75018
Seattle,WA = 610710
Sterling Heights,MI = 129734
Carson,CA = 91828
Tuscaloosa,AL = 90637
Bloomington,IN = 81096
Aurora,IL = 193582
Bloomington,IL = 76730
Redding,CA = 89901
Abilene,TX = 119688
Deltona,FL = 85183
Jonesboro,AR = 67486
Peoria,AZ = 154475
Riverside,CA = 305707
New Bedford,MA = 95138
Pawtucket,RI = 71204
Manchester,NH = 109655
Brandon,FL = 102939
Everett,WA = 103321
Lorain,OH = 64128
O'Fallon,MO = 79565
Westminster,CA = 89971
Topeka,KS = 127727
Raleigh,NC = 406609
Mount Vernon,NY = 67397
Kalamazoo,MI = 74382
Pittsburg,CA = 63510
Norfolk,VA = 243135
Miami Gardens,FL = 107559
Boynton Beach,FL = 68380
Simi Valley,CA = 124596
Iowa City,IA = 68027
Miami,FL = 400892
Billings,MT = 104491
Medford,OR = 75007
Somerville,MA = 75900
Deerfield Beach,FL = 75245
Jacksonville,NC = 70705
Lawton,OK = 97832
Fremont,CA = 214613
Albany,GA = 78971
Beaumont,TX = 118355
St. George,UT = 73078
St. Joseph,MO = 74853
Kenosha,WI = 99362
Meridian,ID = 75324
Upland,CA = 73991
Flower Mound,TX = 66238
Quincy,MA = 92486
Odessa,TX = 99554
Longview,TX = 80238
Bolingbrook,IL = 73027
Garland,TX = 227604
Grand Rapids,MI = 188214
Albany,NY = 97737
Las Vegas,NV = 584641
Gainesville,FL = 124433
Arlington Heights,IL = 77009
Newark,NJ = 277232
Riverview,FL = 66415
Danbury,CT = 81043
Cape Coral,FL = 154668
Rochester,NY = 210595
Reading,PA = 88175
Brooklyn Park,MN = 75936
Buffalo,NY = 261210
Bellingham,WA = 81067
Huntington Beach,CA = 190541
Boston,MA = 621383
Tallahassee,FL = 181734
Independence,MO = 117027
Miami Beach,FL = 88110
Kansas City,KS = 147798
Flint,MI = 102231
Dearborn,MI = 97895
Pearland,TX = 90811
El Monte,CA = 113614
Denver,CO = 604414
Yuma,AZ = 93409
Pharr,TX = 70888
North Richland Hills,TX = 63656
Kenner,LA = 66681
Thousand Oaks,CA = 127041
Worcester,MA = 181264
Portsmouth,VA = 95696
Pueblo,CO = 106865
Sunrise,FL = 84717
Framingham,MA = 68461
St. Charles,MO = 65993
Highlands Ranch,CO = 95503
Madison,WI = 233777
Renton,WA = 91259
West Valley City,UT = 130026
Davie,FL = 92290
Urban Honolulu,HI = 338909
Newton,MA = 85302
Wilmington,NC = 106819
Vallejo,CA = 116217
Cambridge,MA = 105337
Clearwater,FL = 107697
Fayetteville,NC = 201077
Sioux Falls,SD = 153959
Rochester,MN = 106963
Redondo Beach,CA = 66825
Santa Rosa,CA = 168244
Apple Valley,CA = 69387
Rio Rancho,NM = 87954
Columbus,GA = 190417
Bakersfield,CA = 348582
Pembroke Pines,FL = 155252
Joliet,IL = 150856
Augusta-Richmond County,GA = 196386
Olathe,KS = 126256
Fullerton,CA = 135541
Alexandria,VA = 140912
Columbia,SC = 129139
Athens-Clarke County,GA = 115465
Greeley,CO = 93389
Pomona,CA = 149225
San Francisco,CA = 805463
Paradise,NV = 215586
Antioch,CA = 102745
Denton,TX = 114100
Centennial,CO = 100909
Green Bay,WI = 104266
Phoenix,AZ = 1449481
Toms River,NJ = 89390
Alameda,CA = 73981
Carolina,PR = 160324
Chicago,IL = 2698831
Skokie,IL = 64861
Fall River,MA = 88894
Turlock,CA = 68663
Orange,CA = 136803
Racine,WI = 78906
Folsom,CA = 72348
Yonkers,NY = 196277
League City,TX = 83848
Lexington-Fayette,KY = 296765
St. Paul,MN = 285439
Portland,OR = 585429
Wyoming,MI = 72209
Murfreesboro,TN = 109220
Atlanta,GA = 422338
Carrollton,TX = 119759
Caguas,PR = 81589
Newport Beach,CA = 85442
Fishers,IN = 77579
Lakewood,CO = 143230
Lakewood,CA = 80154
Sandy,UT = 87818
Murrieta,CA = 104108
Louisville,KY = 598230
Savannah,GA = 136651
Hialeah,FL = 225461
Downey,CA = 111922
Eugene,OR = 156299
San Juan,PR = 382900
Shreveport,LA = 198934
Hemet,CA = 79157
Cranston,RI = 80424
Naperville,IL = 141483
Sparks,NV = 90504
Johns Creek,GA = 77207
Sugar Land,TX = 79472
Dothan,AL = 66121
Indio,CA = 76512
Kent,WA = 92722
Gulfport,MS = 68042
Bridgeport,CT = 144521
Temple,TX = 66686
North Charleston,SC = 95548
Mount Pleasant,SC = 68112
Yorba Linda,CA = 64414
Inglewood,CA = 109799
